comment_text,cleaned_comment,Label
President Trump really 😂😂😂,president trump really,0
"Remember Fox friends, you voted for this to happen.",remember fox friends you voted for this to happen,1
"Baby doesn't get his way and has fit in the check-out lane. Forty-eight hours is still enough time to remove him from office. Help move things forward by contacting your Republican Senators and Congressmen today. Let them know that you exist. Let them know that you vote. Let them know how you would rate their tenure in office thus far. Let them know you are not in favor of another useless war in the Middle-East. And let them know that if they aren't going to do anything, that they should pull an MTG and leave Congress today, and let someone with an ounce dignity, courage and self-respect take their place. 
And while you are at it make plans for No Kings Day, Saturday March 28, 2026 Be seen. Be heard.","baby doesnt get his way and has fit in the checkout lane fortyeight hours is still enough time to remove him from office help move things forward by contacting your republican senators and congressmen today let them know that you exist let them know that you vote let them know how you would rate their tenure in office thus far let them know you are not in favor of another useless war in the middleeast and let them know that if they arent going to do anything that they should pull an mtg and leave congress today and let someone with an ounce dignity courage and selfrespect take their place 
and while you are at it make plans for no kings day saturday march 28 2026 be seen be heard",1
"Oh, now that he’s demanded Iran is gonna open the Strait of Hormuz. They’re scared of his 100th demand😂😂",oh now that hes demanded iran is gonna open the strait of hormuz theyre scared of his 100th demand,1
"Most Americans can't wait to say good ""I'm glad"" concerning Trump.",most americans cant wait to say good im glad concerning trump,1
"I
Bet
He 
…..
….
To
Do 
It","i
bet
he 


to
do 
it",0
Americans now look to the rest of the world like the herd of cattle led by a crazy donkey,americans now look to the rest of the world like the herd of cattle led by a crazy donkey,1
"This is all fake news, Trump said the war was over 2 weeks ago. Just fake news, no America soldiers were killed.",this is all fake news trump said the war was over 2 weeks ago just fake news no america soldiers were killed,1
BREAKING: Iran says the Hormuz is open except to our ENEMIES,breaking iran says the hormuz is open except to our enemies,2
“Thank you for your attention to this matter” 😂😂😂,thank you for your attention to this matter,1
"From complete capitulation,  to please let the oil pass. 😂😂",from complete capitulation  to please let the oil pass,1
"Trump is an idiot, Israel is running this country. It’s there oil idiot",trump is an idiot israel is running this country its there oil idiot,1
"I'm so disappointed in the obituaries, every single day 🤷😑",im so disappointed in the obituaries every single day,1
TACO!,taco!,0
Shut the fuk up,shut the fuk up,2
"ya his fake deadlines don't work or scare anyone anymore, its like your mom counting down from 3 and then you're really gnna be grounded! 
they already responded saying then they will bomb the desalination plants in the middle east, leaving no water for your precious allies. 
checkmate","ya his fake deadlines dont work or scare anyone anymore its like your mom counting down from 3 and then youre really gnna be grounded! 
they already responded saying then they will bomb the desalination plants in the middle east leaving no water for your precious allies 
checkmate",1
I am really happy that this down to earth kind of a guy said that on monday the oil will be flowing through the strait of Hormuz en oil prices will go down and it is all about peace. But now I read in the news that the US and Iran want  to blow up each other nuclear powerplants.,i am really happy that this down to earth kind of a guy said that on monday the oil will be flowing through the strait of hormuz en oil prices will go down and it is all about peace but now i read in the news that the us and iran want  to blow up each other nuclear powerplants,1
Who the f let him stay up and watch diehard💀,who the f let him stay up and watch diehard,2
Fox war mongers!!!! No new wars! Who said that!?,fox war mongers!!!! no new wars! who said that!?,1
"As a three time supporter I didn’t vote for this. He ran on no new wars. No American sons or daughters should be on ground in this war. GOP may support war but independents do not. He has given midterms, 28, and 32 to Dems and it’s because of this war.  No matter which party we vote for all we get are puppets. It’s disgraceful. We have no Allie’s left. Carlson /Kent 2028",as a three time supporter i didnt vote for this he ran on no new wars no american sons or daughters should be on ground in this war gop may support war but independents do not he has given midterms 28 and 32 to dems and its because of this war  no matter which party we vote for all we get are puppets its disgraceful we have no allies left carlson kent 2028,1
"they’d rather see their whole country blowing up then open up that straight , they’re pretty stupid people so pretty tough to negotiate",theyd rather see their whole country blowing up then open up that straight  theyre pretty stupid people so pretty tough to negotiate,2
"Cant wait for the old man in the whitehouse to croak, clots and prayers",cant wait for the old man in the whitehouse to croak clots and prayers,2
"d E m A N d, lol.",d e m a n d lol,1
"​""Trump is costing the U.S. its wealth and its global standing.""",trump is costing the us its wealth and its global standing,1
Trump ran to stay out of prison.  Its time to give himself his multiple pardons and leave the job as President to a grown up. Its going to be hard for the next Democrat to fix this damage.  His spending is out of control to.,trump ran to stay out of prison  its time to give himself his multiple pardons and leave the job as president to a grown up its going to be hard for the next democrat to fix this damage  his spending is out of control to,2
Fox news licks trumps butthole,fox news licks trumps butthole,2
Fox News comment section not on their knees for their dear leader Trump? Man…the end must really be near 😅,fox news comment section not on their knees for their dear leader trump? manthe end must really be near,1
As long as the regime’s criminal lobbyists continue to deceive and mislead the U.S. admin.—steering it away from total elimination and toward the ”Venezuelization” of the evil Islamic regime to buy time and save it—this war will only go awry.,as long as the regimes criminal lobbyists continue to deceive and mislead the us adminsteering it away from total elimination and toward the venezuelization of the evil islamic regime to buy time and save itthis war will only go awry,1
Okay good,okay good,1
What happened to all the right wing scumbag dump d*ck suckers...Tell us what you think of your daddy now!,what happened to all the right wing scumbag dump dck suckerstell us what you think of your daddy now!,2
"How worried do you think Iran is?  The rest of the region in the Middle East should be worried about Trump. He has no clue what he got himself into, but he has words. The best words, some say nobody has ever seen words like it. He doesn't know what he says, but he knows he has them.",how worried do you think iran is?  the rest of the region in the middle east should be worried about trump he has no clue what he got himself into but he has words the best words some say nobody has ever seen words like it he doesnt know what he says but he knows he has them,1
Trump is an @hole.,trump is an idiot israel is running this country its there oil idiot,2
"My guess, mountains are going to be leveled and the strait is likely to be expanded into a big beautiful strait..so big and beautiful that hundred of ships can move through in one day at the same time😂😂",my guess mountains are going to be leveled and the strait is likely to be expanded into a big beautiful straitso big and beautiful that hundred of ships can move through in one day at the same time,1
!!!!!!,!!!!!!,0
Youngsters talking 😂  are these guys following the real news ???,youngsters talking   are these guys following the real news ???,1
"Gros connard menteur de trump !! With his friend sheitanyahu.  They are mad , they are génocidaires , they are evil, not human",gros connard menteur de trump !! with his friend sheitanyahu  they are mad  they are génocidaires  they are evil not human,2
Looks like all the Pro Trump propaganda has stopped in the Fox News comments this week with the mass internet outage in Russia. Coincidence?,looks like all the pro trump propaganda has stopped in the fox news comments this week with the mass internet outage in russia coincidence?,1
